[000:00] 然后我们现在目前我看大家都已经陆陆续续上线了
[000:04] 那我们就开始今天的一个正式的一个直播的课程
[000:08] 那首先第一个的话也是非常欢迎各位朋友们再次回到A-CEN决金局
[000:13] 亚马逊美国战弹服饰广告的系列课程
[000:17] 那我是亚马逊广告市场经理楚言
[000:20] 今天的话是4月23号也是迎来了我们这个系列课程的最后一讲
[000:25] 那今天和我一起跟大家授课的依然是来自于Moses亚马逊广告卖家讲师阿妙老师
[000:32] 那我相信如果说您是在上节课听过我们的分享的话
[000:36] 大家一定会对阿妙老师在服饰品类
[000:39] 尤其是在上个节课给大家分享的短生命周期产品的广告打法上应该是印象非常深刻的
[000:44] 那么同样今天的话它也会带来我们今天的一个主题机械性的产品
[000:49] 那到底在这个产品上它也带来非常多的自己的一些干物的分享
[000:55] 好那在开始之前的话也请允许我把话筒先转交给阿妙老师
[000:59] 让她自己呢也来做一个简单的自我介绍
[001:02] 好
[001:04] 好大家好我是阿妙
[001:10] 那今天呢我和楚言老师就为大家带来的是这个服饰品类
[001:15] 季节性广告的一个实战经验
[001:17] 希望对大家有用
[001:19] 好的好的谢谢阿妙老师非常简短的介绍
[001:23] 阿妙老师的话他本人是来自于领校长Moses的这样一个大的这样一个跨境机构
[001:29] 然后阿妙老师的话他也是在整个过程当中的话
[001:32] 有非常非常多的一些关于服饰品类的这种实战的经验
[001:35] 所以说今天的课程的话一定是会让大家对于整个服饰品类
[001:39] 尤其是积极性的产品
[001:40] 我相信会有非常多的不一样的新的认知
[001:42] 好那我们就话不多说进入到今天的课程
[001:45] 那进入到今天的课程之前的话
[001:47] 还是想跟大家说一下我们这个课程的话是一个整个系列课
[001:51] 那这个系列课的话前面我们三讲已经讲完了
[001:53] 分别聚焦怎么去读懂A-SER生命周期
[001:57] 来帮我们去找到美国服饰市场的一些机会点
[002:00] 那么再到在上上周的话
[002:03] 一起去跟大家去分享了长生命周期产品广告应该怎么投放
[002:06] 那么同样的话短生命周期的话
[002:08] 是在我们的上周跟大家去做了分享
[002:10] 那今天的话我们重点的话会围绕着这样一个核心的点
[002:15] 叫做季节性的产品
[002:16] 我们应该怎么去投放广告
[002:17] 来去跟大家展开今天的课程
[002:20] 那整个今天的课程的话
[002:22] 我们的主要的这个目标的话会有三个方向
[002:25] 第一个的话我会带着大家呢
[002:26] 一起从生命周期的这样一个维度
[002:28] 来去看消费者的需求
[002:30] 去理解一下季节性的产品
[002:32] 它下面有哪些产品的类型
[002:35] 以及这些不同的产品类型
[002:37] 具体背后的消费者的决策路径是什么
[002:39] 那在这样一个决策路径的基础上的话
[002:41] 我们会进一步的带着大家呢
[002:42] 跟着一些真实的案例
[002:45] 以及结合亚马逊本身广告提供的一些数据
[002:48] 来去看看说头部的AZEN
[002:50] 在这样的一些品类下
[002:52] 他们是怎么去做到
[002:53] 在旺季期间可以打出最大的转化的
[002:56] 那当然最后一个部分的话
[002:57] 也是来自于阿缭老师的一个分享
[002:59] 那么他会给大家去分享
[003:01] 在机械性的产品上
[003:02] 有哪些独有的属性
[003:03] 来去会指引到我们说
[003:05] 有哪些具体的并领和实战的技巧
[003:07] 来帮助我们整体进行广告投放的一个体像
[003:11] 所以这个的话是整个系列课程
[003:13] 那如果大家说对这个系列课程
[003:14] 在前面没有参与
[003:15] 想要参与或者是说想要去复看的
[003:18] 我们也可以把上面的这个二维码呢
[003:20] 可以做一个保存
[003:21] 然后课后的话
[003:22] 大家可以基于自己的时间来去安排
[003:24] 去学习就好了
[003:25] 好
[003:26] 那我们就来看看整个这个课程
[003:28] 那在这节课的开始之前的话
[003:30] 我们也简单的去做一下上节课的回顾
[003:33] 那上节课的话
[003:34] 我们是深入的去跟大家去分享了
[003:36] 短生命周期广告
[003:38] 短生命周期产品
[003:39] 它的一个广告实战的打法
[003:41] 那么首先第一个的话
[003:42] 我们在上节课的话
[003:43] 去理解到了短生命周期的产品的话
[003:45] 它主要是分为两种类型
[003:46] 第一种是高信任门槛性
[003:49] 像女士的bra
[003:50] underpants这样一个产品
[003:52] 这样一类的产品
[003:53] 那这类产品的话
[003:54] 它主要的点是在于消费者的犹豫
[003:56] 他的这个决策的时候
[003:58] 犹豫度是比较高的
[003:59] 所以说的话
[004:00] 我们找到的一个广告核心呢
[004:02] 是要先信任后规模
[004:04] 那么当然对于反反过来
[004:06] 另一个类型的产品
[004:07] 叫做低门槛快效性的产品
[004:08] 那这类产品的话
[004:09] 我们是以kitchen
[004:10] 也就是钥匙链做了一个案例
[004:12] 那通过这个案例的话
[004:13] 我们了解到了在这类型的产品
[004:15] 背后的话
[004:16] 消费者他的一个决策购买的路径的话
[004:18] 会更多的是以冲动购买为主
[004:20] 那因此针对这样的类型的产品的话
[004:22] 我们广告的核心是要先做好转化
[004:24] 再进行这部分的客户的留存
[004:26] 所以说在这个部分的话
[004:28] 我们去围绕着这样一个
[004:30] 整个短生命周期的产品呢
[004:31] 去结合着真实的案例
[004:33] 来去帮助大家呢
[004:35] 去理解了整个短生命周期
[004:37] 尤其是在服饰品类的
[004:38] 短生命周期的这些产品
[004:40] 他的广告应该怎么去投放
[004:41] 那今天的话我们就重点的来一起看看
[004:44] 啊
[004:44] 季节性的产品
[004:45] 到底他的广告应该怎么去做
[004:47] 好
[004:48] 那我们就话不多说
[004:49] 进入到今天正式的一个分享
[004:51] 那首先第一个
[004:53] 我们一起来看看
[004:54] 从生命周期的需求
[004:55] 从生命周期来去挖掘
[004:57] 背后消费者的需求到底是什么
[004:59] 好
[005:00] 那我们在整个这个课程开始之前
[005:03] 因为也有很多卖家朋友们
[005:04] 可能是第一次来到
[005:05] 这样一个直播间
[005:07] 也是第一次听到这个系列课程
[005:08] 所以说的话
[005:09] 在这个开课之前呢
[005:10] 我们还是先简单的复习一下
[005:12] 在之前一直跟大家去聊到的
[005:15] 关于AZEN生命周期
[005:16] 他的一个基础定义
[005:18] 那在这里的话
[005:19] 我们给大家的一个
[005:20] 左边是一张图
[005:20] 那大家可以看一下
[005:21] 那左边的这张图的话
[005:23] 其实我们可以看到
[005:23] 一般来讲的话
[005:24] 我们的产品上限之后的话
[005:26] 我们会有三个核心的关键阶段
[005:28] 第一个关键阶段呢
[005:30] 叫做新品期
[005:30] 大家都很好理解
[005:31] 对吧
[005:32] 那这个是一般来讲
[005:33] 是产品上架后的零到三个月
[005:35] 那这个部分的话
[005:36] 它基本上是属于我们的产品的
[005:37] 能启动的关键时期
[005:39] 那主要的特点呢
[005:40] 就是这个部分的时间
[005:42] 这段时间的话
[005:43] 产品本身是比较缺乏曝光和流量的
[005:46] 那并且的话
[005:47] 对于市场的认知的这个上面的话
[005:50] 可能市场认知也是比较差
[005:51] 所以在整个这个过程当中的话
[005:53] 我们一般来讲
[005:54] 这个时候我们叫它为新品期
[005:56] 那成长期的话
[005:57] 一般来讲
[005:58] 我们是说从产品上架三个月以后
[006:01] 达到销售峰值的时候
[006:03] 那这段期间我们叫做成长期
[006:05] 一般来讲成长期
[006:07] 它的一个主要特点呢
[006:08] 就是销售和评价是逐步增加的
[006:10] 流量呢
[006:11] 也是从有少变多
[006:12] 那整个销售是一个快速上升的一个状态
[006:15] 那当然最后一个阶段
[006:17] 叫做成熟期
[006:17] 成熟期一般我们来定义的点呢
[006:20] 是从销售额的峰值开始计算
[006:22] 那么当这个峰值跌至到50%以下
[006:25] 那么这个时候我们就意味着
[006:27] 成熟期就结束了
[006:28] 所以因此成熟期的话
[006:29] 其实就是从销售额的峰值
[006:31] 也就是它整个生命周期的销售额的峰值
[006:34] 的那个点开始
[006:34] 然后一直走到它在销售额峰值
[006:38] 没有跌到50%以下
[006:40] 那么这中间的期间的话
[006:41] 我们叫做成熟期
[006:42] 那么这个部分的话
[006:43] 其实就很好理解
[006:44] 我们可以看到它的销售的话
[006:46] 是逐渐是往下跌的
[006:47] 并且的话
[006:48] 它是不再往回走
[006:49] 就它没有再
[006:50] 就是第二次的出现这样一个高峰值
[006:53] 所以这个部分基本上
[006:54] 它可以看到
[006:55] 销售的这样一个趋势
[006:56] 是在往逐渐摔落的状态
[006:59] 那么这个阶段的话
[007:00] 其实大家都知道
[007:01] 就听过亚马逊广告课程的卖家
[007:03] 肯定大家都很清楚
[007:04] 那么对于成熟期而言
[007:06] 那么主要特点
[007:07] 就是第一个销售和评价
[007:09] 其实在这个时候已经趋于稳定了
[007:10] 所以我们在很多之前的课程当中的话
[007:12] 也有讲到说
[007:13] 在这个期间的话
[007:14] 我们要去做好自己的一个利润
[007:16] 对吧
[007:16] 所以这个的话
[007:17] 是我们对于所有的产品来讲
[007:20] 那么可以基本上可以去通用的
[007:22] 三个核心的关键阶段
[007:23] 但是我们今天讲到了季节性的话
[007:26] 它的整个三个周期
[007:28] 其实会因为它独有的季节性的特点
[007:30] 我们会把这三个关键的阶段的话
[007:33] 做一个重新的定义
[007:35] 所以待会的话
[007:36] 这个部分的话
[007:36] 阿弥雅老师也会去跟大家去分享
[007:38] 好
[007:39] 那我们在听完了
[007:40] A-SEN的这个生命周期的基础定义之后的话
[007:43] 我们其实就可以进步的来看看
