Family Brief,Content,Metrics,Ad Products,Marketplaces
prime_day,"Advertisers in the US saw an increase of 11% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,US
prime_day,"Advertisers in the US saw a ROAS of 2.38 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,US
prime_day,"Advertisers in NA3 saw a ROAS of 2.94 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA, MX. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and are Seller and GGS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers saw a ROAS of 2.28 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are High GMS and gl in Beauty Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,All
prime_day,"Advertisers in EU9 saw a ROAS of 2.77 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in Germany saw a ROAS of 3.16 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, DE. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,DE
prime_day,"Advertisers in EU9 saw an increase of 38% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and GGS and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in EU5 saw an increase of 41% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and SSO and gl in Consumables.)",Units Sold,Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers saw a ROAS of 4.13 when promoting their products using Sponsored Products and Sponsored Brands during Prime Day. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are High GMS and gl in Consumables.)",ROAS (Return on Ad Spend),"Sponsored Brands, Sponsored Products",All
prime_day,"Advertisers saw an increase of 7% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5, Domestic based and gl in Pet Products Consumables.)",Units Sold,Sponsored Ads,All
prime_day,"Advertisers in NA3 saw a ROAS of 2.69 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, US, CA, MX. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and GGS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,"CA, MX, NA, US"
prime_day,"Advertisers in EU9 saw a ROAS of 3.23 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and GGS and includes ASINs which are High GMS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in EU10 saw an increase of 35% in sales using Sponsored Products during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and includes ASINs which are High GMS and gl in Consumables.)",Sales,Sponsored Products,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in the US saw an increase of 26% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, CN based and gl in Pet Products Consumables.)",Units Sold,Sponsored Ads,US
prime_day,"Advertisers in EU10 saw a ROAS of 3.01 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and includes ASINs which are Global Star and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw an increase of 27% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and SSO and includes ASINs which are High GMS and gl in Consumables.)",Sales,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers saw an increase of 25% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and are Seller and gl in Grocery Consumables.)",DPV (Detail Page Views),Sponsored Ads,All
prime_day,"Advertisers in NA2 saw a ROAS of 1.43 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5, Domestic based and gl in Beauty Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, NA, US"
prime_day,"Advertisers in NA3 saw a ROAS of 3.35 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA, MX. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and LCS and includes ASINs which are High GMS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers in NA2 saw a ROAS of 2.95 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and GGS and gl in Beauty Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, NA, US"
prime_day,"Advertisers saw an increase of 67% in units sold using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and includes ASINs which are Global Star and gl in Consumables.)",Units Sold,"Sponsored Brands, Sponsored Products",All
prime_day,"Advertisers in NA2 saw a ROAS of 3.25 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are High GMS and gl in Luxury_Beauty Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, NA, US"
prime_day,"Advertisers in EU5 saw an increase of 46% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and gl in Beauty Consumables.)",Sales,Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in NA3 saw a ROAS of 2.83 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US, CA, MX. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and includes ASINs which are Global Star and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers in EU5 saw an increase of 29% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and are Vendor and GGS and gl in Consumables.)",Units Sold,Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in EU9 saw an increase of 108% in detail page views using Sponsored Products during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and includes ASINs which are SP ready and gl in Consumables.)",DPV (Detail Page Views),Sponsored Products,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
