[000:00] 好 我看现在逐步有卖家朋友们已经进入到直播间了
[000:20] 那首先第一个也是非常感谢大家在今天下午的时间能够抽出两个小时
[000:24] 和我还有大鹏老师一起来聊聊亚马逊美国服饰站的服饰品类
[000:31] 亚马逊美国站服饰品类的广告该怎么去投放
[000:35] 那在开始之前的话也先请允许我能够简单介绍一下
[000:40] 首先第一个我是来自于亚马逊广告团队的楚言
[000:44] 那么接下来的话会由我来主持今天的这场直播
[000:47] 那么在同时在今天的这个直播当中的话
[000:49] 我也非常荣幸的邀请到了来自于盛阳跨境的大鹏老师
[000:53] 作为本次直播的重磅嘉宾和我一起来为卖家朋友们
[000:59] 揭晓亚马逊美国服饰品类的这个广告系列课程的第二节课
[001:05] 那在这里的话我也把话筒交给大鹏老师
[001:07] 让大鹏老师也简单的给各位卖家朋友们做一个自我介绍
[001:11] 哈喽各位卖家还有主持人大家下午好
[001:14] 也是非常开心的今天能够受到亚马逊广告的官方邀请来给大家去
[001:19] 共同做一个关于美国战服饰品类的一个广告的一个分享
[001:24] 那么今天的话也就是由我跟淳源老师的话一起来为大家带来以下内容
[001:31] 那么我们的话等会我会把我一些就是关于这部分广告的话
[001:37] 给大家做一些分享
[001:38] 还有呢当然会带入一些比如说在平时呢去推这种
[001:42] 尤其是服饰这种飞标品的时候呢找词的时候一些思路和方法
[001:47] 谢谢大家
[001:48] 好的非常感谢大鹏老师
[001:50] 那在开始之前的话我们也先简单来看一下这个系列课程
[001:54] 首先这个系列课程的话我们在上个星期已经完成了第一讲
[001:58] 在第一讲当中的话是带着大家一起去理解了A-SEN生命周期
[002:02] 作为广告投放的导航仪的一个重要性
[002:05] 同时的话也通过对于美国服饰品类的不管是大的市场环境
[002:09] 电商的数据
[002:10] 然后以及在亚马逊上美国服饰品类新卖家新A-SEN的数据对比呢
[002:16] 来去让大家理解了美国服饰品类它的一个真实的格局
[002:20] 以及在这个真实格局下如何去寻找适合自己的细分赛道的这样一个公式和方法论
[002:26] 那当然的话也是对于这些所有的基础之上的话
[002:30] 我们进一步的去带着大家去认识了在服饰品类下的三大类型的
[002:34] 生命周期的产品
[002:35] 以及不同生命周期的产品
[002:37] 它对于卖家能力的要求是什么
[002:39] 从而可以让帮助大家呢
[002:41] 在这样一个已经存在
[002:43] 已经是一个存量市场
[002:44] 一个竞争的比较激烈的这样一个态势下呢
[002:47] 能够去找到适合自己的赛道
[002:50] 以及在这个适合赛道下呢
[002:52] 通过A-SEN的生命周期呢
[002:53] 帮助大家去进行广告的科学投放的一些方法论
[002:57] 所以上节课的话
[002:58] 其实我们重点的话是基于整个系列课程呢
[003:01] 给大家做了一个我们概念啊
[003:03] 包括这个我们接下来要去展开的不同的篇章的广告实战的
[003:08] 一个最核心的这样一个思路呢
[003:11] 给大家做了一个铺垫
[003:12] 那么在这个铺垫之上的话
[003:14] 我们从今天的这堂课开始呢
[003:16] 就要深入的去进行长生命周期的这个产品的广告投放和实战的打法当中了
[003:22] 那么在下个周以及在下周的同一时间的话
[003:25] 我也会跟另外的老师阿淼老师呢
