[000:00] 那今天的分享了
[000:04] 第一个呢会跟大家聊一聊
[000:05] 从生命周期来去看消费者的需求
[000:08] 那么从需求来去找到我们不同的产品
[000:11] 它的一个广告重点和锚点
[000:13] 那么第二个很重要的点呢
[000:15] 是我们看看如何通过AZEN的生命周期
[000:18] 来帮助我们把一个AZEN
[000:20] 做成一个长期稳定的现金流
[000:22] 在这里的话会给大家分享
[000:23] 以四个案例呢去展开
[000:26] 来去分享具体广告的投放技巧
[000:28] 那第三个部分也是刚才讲到的
[000:30] 我们想要广告的提效
[000:31] 想要广告做得更好
[000:33] 那么我们希望能够有更多的更好的销售的话
[000:36] 那么还有很重要的就是我们需要有一些关注到的
[000:39] 与长生命周期产品特有属性下的
[000:42] 大家需要重视一些实战的一些方向的技巧
[000:44] 那在开始具体这个广告打法讲解之前呢
[000:48] 我们还是先来简单回顾一下
[000:50] 生命周期的概念和定义啊
[000:52] 因为这个的话是接下来我们在
[000:53] 所有的广告打法的一个展开讲解当中的话
[000:56] 都会涉及到的很关键的这样一个概念
[000:59] 那首先第一个我们可以看一下左边的这张图啊
[001:01] 那这张图的话其实是我们找到的一个
[001:04] 关于在美国服饰品类的大的这个服饰品类的
[001:07] 一个整体的所有的A-SEN
[001:09] 它聚合归种之后呢
[001:10] 我们可以看到它的生命趋势呢
[001:12] 是这样一个生命趋势
[001:13] 我们的重坐标是销售额
[001:15] 横周标就是我们的这个横线的横周标呢
[001:18] 是销售时长
[001:19] 那么在这里的话我们可以看到
[001:21] 一般来讲我们会把新品期定义为产品上架后的
[001:26] 零到三个月
[001:27] 那这个阶段的话是整个A-SEN
[001:29] 它能启动最关键的时期
[001:31] 但是在这个关键的时期下的主要的特点呢
[001:34] 也是发现说它是比较缺少流量以及曝光
[001:37] 还有缺少市场认知的
[001:39] 那么在三个月之后呢
[001:40] 我们可以正式的开始去看到说
[001:43] 它会有一个逐步上升的一个趋势
[001:45] 那么整个从它三个月开始
[001:47] 到它销售额达到峰值的这个阶段
[001:50] 我们叫做成长期
[001:52] 那这个期间的主要特点呢
[001:54] 是销售和评论量的话
[001:56] 是在足够增加
[001:57] 流量的话也开始逐渐变多
[001:59] 那么成熟期的定义是什么呢
[002:01] 成熟期的定义呢
[002:02] 就是从成长期
[002:03] 成长期我们刚才讲的
[002:04] 它是到达销售峰值对吧
[002:06] 那么成熟期呢
[002:07] 就是从峰值开始计算
[002:09] 那么它从峰值一直跌到峰值的50%以下
[002:14] 我们视为在这个产品呢
[002:17] 它的整个成熟期
[002:18] 当跌到了峰值50%以下呢
[002:21] 也就意味着说
[002:22] 这个产品进入到了衰退期
[002:24] 所以这个呢
[002:25] 是我们对于Ace生命周期当中的
[002:27] 三个重要阶段的一个定义
[002:30] 那我们在了解清新的定义之后呢
[002:32] 我们就来看看
[002:33] 美国占的这个服饰品类下
[002:35] 我们主要有三大核心的生命周期类型
[002:39] 长短季节性的
[002:40] 那今天的话
[002:41] 我们主要是围绕着
[002:42] 长生命周期来展开
[002:44] 首先我们先来去
[002:45] overall看一下
[002:46] 就大概我们一起来同蓝的看一下
